invoice_line_id,invoice_id,service_code,service_description,quantity,unit_price,line_amount
IL000202,INV000076,SRV007,Pharmacy,2,750.00,1500.00
IL000203,INV000077,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000204,INV000077,SRV001,Consultation,2,800.00,1600.00
IL000205,INV000077,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000206,INV000077,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000207,INV000078,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000208,INV000079,SRV007,Pharmacy,3,750.00,2250.00
IL000209,INV000079,SRV001,Consultation,1,800.00,800.00
IL000210,INV000080,SRV005,Radiology Investigation,1,1200.00,1200.00
IL000211,INV000080,SRV007,Pharmacy,1,750.00,750.00
IL000212,INV000081,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000213,INV000082,SRV008,Nursing Service,3,1000.00,3000.00
IL000214,INV000082,SRV001,Consultation,2,800.00,1600.00
IL000215,INV000082,SRV004,Laboratory Investigation,3,500.00,1500.00
IL000216,INV000083,SRV005,Radiology Investigation,2,1200.00,2400.00
IL000217,INV000083,SRV008,Nursing Service,1,1000.00,1000.00
IL000218,INV000083,SRV007,Pharmacy,3,750.00,2250.00
IL000219,INV000083,SRV004,Laboratory Investigation,1,500.00,500.00
IL000220,INV000084,SRV006,Procedure,1,3000.00,3000.00
IL000221,INV000084,SRV005,Radiology Investigation,1,1200.00,1200.00
IL000222,INV000084,SRV003,Hospital Room Charge,3,2500.00,7500.00
IL000223,INV000084,SRV001,Consultation,3,800.00,2400.00
IL000224,INV000085,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000225,INV000086,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000226,INV000087,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000227,INV000087,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000228,INV000087,SRV008,Nursing Service,1,1000.00,1000.00
IL000229,INV000087,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000230,INV000088,SRV007,Pharmacy,3,750.00,2250.00
IL000231,INV000088,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000232,INV000088,SRV008,Nursing Service,1,1000.00,1000.00
IL000233,INV000089,SRV007,Pharmacy,2,750.00,1500.00
IL000234,INV000089,SRV006,Procedure,3,3000.00,9000.00
IL000235,INV000089,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000236,INV000090,SRV008,Nursing Service,1,1000.00,1000.00
IL000237,INV000091,SRV005,Radiology Investigation,2,1200.00,2400.00
IL000238,INV000091,SRV003,Hospital Room Charge,3,2500.00,7500.00
IL000239,INV000091,SRV001,Consultation,1,800.00,800.00
IL000240,INV000092,SRV007,Pharmacy,2,750.00,1500.00
IL000241,INV000092,SRV001,Consultation,3,800.00,2400.00
IL000242,INV000092,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000243,INV000092,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000244,INV000093,SRV001,Consultation,1,800.00,800.00
IL000245,INV000093,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000246,INV000093,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000247,INV000093,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000248,INV000094,SRV002,Emergency Consultation,1,1500.00,1500.00
IL000249,INV000094,SRV001,Consultation,3,800.00,2400.00
IL000250,INV000094,SRV006,Procedure,1,3000.00,3000.00
IL000251,INV000094,SRV005,Radiology Investigation,2,1200.00,2400.00
IL000252,INV000095,SRV007,Pharmacy,1,750.00,750.00
IL000253,INV000096,SRV002,Emergency Consultation,1,1500.00,1500.00
IL000254,INV000096,SRV004,Laboratory Investigation,3,500.00,1500.00
IL000255,INV000097,SRV008,Nursing Service,2,1000.00,2000.00
IL000256,INV000097,SRV006,Procedure,3,3000.00,9000.00
IL000257,INV000098,SRV007,Pharmacy,2,750.00,1500.00
IL000258,INV000098,SRV008,Nursing Service,1,1000.00,1000.00
IL000259,INV000098,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000260,INV000099,SRV007,Pharmacy,3,750.00,2250.00
IL000261,INV000099,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000262,INV000100,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000263,INV000100,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000264,INV000101,SRV001,Consultation,2,800.00,1600.00
IL000265,INV000101,SRV003,Hospital Room Charge,3,2500.00,7500.00
IL000266,INV000101,SRV006,Procedure,3,3000.00,9000.00
IL000267,INV000102,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000268,INV000102,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000269,INV000102,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000270,INV000102,SRV007,Pharmacy,3,750.00,2250.00
IL000271,INV000103,SRV008,Nursing Service,3,1000.00,3000.00
IL000272,INV000103,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000273,INV000103,SRV002,Emergency Consultation,1,1500.00,1500.00
IL000274,INV000103,SRV006,Procedure,2,3000.00,6000.00
IL000275,INV000104,SRV006,Procedure,3,3000.00,9000.00
IL000276,INV000105,SRV007,Pharmacy,2,750.00,1500.00
IL000277,INV000105,SRV004,Laboratory Investigation,1,500.00,500.00
IL000278,INV000105,SRV006,Procedure,1,3000.00,3000.00
IL000279,INV000105,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000280,INV000106,SRV002,Emergency Consultation,1,1500.00,1500.00
IL000281,INV000106,SRV007,Pharmacy,3,750.00,2250.00
IL000282,INV000106,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000283,INV000107,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000284,INV000108,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000285,INV000108,SRV004,Laboratory Investigation,2,500.00,1000.00
IL000286,INV000109,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000287,INV000109,SRV007,Pharmacy,2,750.00,1500.00
IL000288,INV000109,SRV003,Hospital Room Charge,3,2500.00,7500.00
IL000289,INV000109,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000290,INV000110,SRV001,Consultation,3,800.00,2400.00
IL000291,INV000110,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000292,INV000110,SRV008,Nursing Service,2,1000.00,2000.00
IL000293,INV000110,SRV002,Emergency Consultation,1,1500.00,1500.00
IL000294,INV000111,SRV007,Pharmacy,1,750.00,750.00
IL000295,INV000112,SRV008,Nursing Service,1,1000.00,1000.00
IL000296,INV000113,SRV001,Consultation,1,800.00,800.00
IL000297,INV000113,SRV008,Nursing Service,2,1000.00,2000.00
IL000298,INV000113,SRV003,Hospital Room Charge,2,2500.00,5000.00
IL000299,INV000114,SRV007,Pharmacy,3,750.00,2250.00
IL000300,INV000114,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000301,INV000114,SRV008,Nursing Service,3,1000.00,3000.00
IL000302,INV000115,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000303,INV000115,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000304,INV000116,SRV004,Laboratory Investigation,1,500.00,500.00
IL000305,INV000116,SRV008,Nursing Service,2,1000.00,2000.00
IL000306,INV000116,SRV005,Radiology Investigation,3,1200.00,3600.00
IL000307,INV000116,SRV002,Emergency Consultation,2,1500.00,3000.00
IL000308,INV000117,SRV005,Radiology Investigation,2,1200.00,2400.00
IL000309,INV000117,SRV006,Procedure,3,3000.00,9000.00
IL000310,INV000117,SRV001,Consultation,3,800.00,2400.00
IL000311,INV000117,SRV004,Laboratory Investigation,1,500.00,500.00
IL000312,INV000118,SRV008,Nursing Service,2,1000.00,2000.00
IL000313,INV000119,SRV007,Pharmacy,2,750.00,1500.00
IL000314,INV000119,SRV006,Procedure,2,3000.00,6000.00
IL000315,INV000119,SRV003,Hospital Room Charge,1,2500.00,2500.00
IL000316,INV000120,SRV008,Nursing Service,3,1000.00,3000.00
IL000317,INV000120,SRV001,Consultation,2,800.00,1600.00
IL000318,INV000120,SRV002,Emergency Consultation,3,1500.00,4500.00
IL000319,INV000120,SRV004,Laboratory Investigation,2,500.00,1000.00
